Product Name,Price
Summer Go-To Bundle,"Rs.2,796.00"
Summer Chill Bundle,"Rs.2,599.00"
Ice Blast Bundle,"Rs.1,399.00"
Ice Blast Face Wash,Rs.799.00
Ice Blast Body Wash,Rs.699.00
Bundle: Charcoal Monthly Bundle + Lip Balm,"Rs.5,014.00"
The Ultimate Bundle,"Rs.4,914.00"
Charcoal Facewash + Charcoal Scrub,"Rs.1,398.00"
Charcoal Facewash + Charcoal Face Mask + Charcoal Scrub,"Rs.2,149.00"
Charcoal Powder + Bamboo Toothbrush,"Rs.1,049.00"
Charcoal Face Wash,Rs.699.00
Charcoal Face Scrub,Rs.799.00
Charcoal Detox Soap Bar,Rs.399.00
Charcoal Face Mask,Rs.799.00
Charcoal Body Wash,Rs.599.00
Charcoal Toothpowder,Rs.799.00
All-Rounder Bundle,"Rs.3,899.00"
Boundary Breaker Bundle,"Rs.2,799.00"
Captain's Choice Bundle,"Rs.2,150.00"
Champion's Beard & Hair Styling Bundle,"Rs.2,499.00"
Match-Day Essentials Bundle,"Rs.3,416.00"
Pitch-Perfect Grooming Bundle,"Rs.3,599.00"
Wicket Warrior Essentials Bundle,"Rs.2,699.00"
Hair Wax,Rs.999.00
Charcoal Face Wash,Rs.699.00
Beard Growth Oil,"Rs.1,499.00"
Lip Lightener Balm,Rs.999.00
Lip Balm,Rs.499.00
De-Tan Face Wash,Rs.799.00
Urban Beard Oil,"Rs.1,199.00"
Under Eye Balm,Rs.999.00
Cedar Wood Beard Oil,Rs.799.00
Beard Shampoo,Rs.799.00
Charcoal Face Scrub,Rs.799.00
Charcoal Detox Soap Bar,Rs.399.00
De-tan Sunscreen,Rs.999.00
Oud Wood Beard Oil,Rs.999.00
Gift Wrapping,Rs.199.00
Anti-Hairfall Shampoo,Rs.699.00
Beard Balm,Rs.899.00
Charcoal Face Mask,Rs.799.00
De-Tan Body Wash,Rs.699.00
Beard Growth Vitamin Spray,"Rs.1,299.00"
Hair Thickening Shampoo,Rs.699.00
Charcoal Body Wash,Rs.599.00
Acne Face Wash,Rs.799.00
Dune - Perfumed Body Spray,Rs.799.00
