Product Name,Price
Bundle: Charcoal Monthly Bundle + Lip Balm,"Rs.5,014.00"
De-Tan Bundle,"Rs.2,349.00"
Charcoal Facewash + Charcoal Face Mask + Charcoal Scrub,"Rs.2,149.00"
Beard Growth Kit,"Rs.3,599.00"
De-Tan + Charcoal Face Wash Bundle,"Rs.1,349.00"
Bundle: Lip Balm + Under Eye Balm,"Rs.1,349.00"
Dune & Flare Perfumed Body Spray Bundle,"Rs.1,449.00"
Charcoal Face Wash,Rs.699.00
Beard Growth Oil,"Rs.1,499.00"
Lip Lightener Balm,Rs.999.00
De-Tan Face Wash,Rs.799.00
Urban Beard Oil,"Rs.1,199.00"
Lip Balm,Rs.499.00
Hair Clay Wax,Rs.999.00
Under Eye Balm,Rs.999.00
Cedar Wood Beard Oil,Rs.799.00
Charcoal Face Scrub,Rs.799.00
keratin shampoo,Rs.699.00
Beard Shampoo,Rs.799.00
Anti-Dandruff Shampoo,Rs.699.00
Charcoal Detox Soap Bar,Rs.399.00
Gift Wrapping,Rs.199.00
Oud Wood Beard Oil,Rs.999.00
Beard Balm,Rs.899.00
Charcoal Face Mask,Rs.799.00
Gold Starter Beard Grooming Kit,"Rs.3,236.00"
Bundle: Lip Lightener Balm + Under Eye Balm,"Rs.1,849.00"
Hair Wax,Rs.999.00
De-Tan Body Wash,Rs.699.00
Charcoal Face Wash + Anti-Dandruff Shampoo,"Rs.1,249.00"
De-tan Sunscreen,Rs.999.00
Beard Growth Vitamin Spray,"Rs.1,299.00"
Charcoal Body Wash,Rs.599.00
Hair Clay Wax + Hair Wax,"Rs.1,849.00"
Moustache Wax,Rs.799.00
Dune - Perfumed Body Spray,Rs.799.00
Hair Thickening Shampoo,Rs.699.00
Charcoal Facewash + Charcoal Scrub,"Rs.1,398.00"
Charcoal Facewash + Charcoal Body Wash,"Rs.1,198.00"
Acne Face Wash,Rs.799.00
Charcoal Powder + Bamboo Toothbrush,"Rs.1,049.00"
Charcoal Toothpowder,Rs.799.00
Hair Clay Wax + De-tan Face Wash Bundle,"Rs.1,698.00"
Beard Growth Shampoo,"Rs.1,099.00"
2-in-1 Shampoo + Conditioner,Rs.699.00
Beard Comb,Rs.499.00
Gold Complete Beard Grooming Kit,"Rs.4,914.00"
Beard Brush,Rs.899.00
White Starter Beard Grooming Kit,"Rs.2,836.00"
Acne Spot Gel,Rs.999.00
Beard Conditioner,Rs.799.00
Hair Clay Wax + Charcoal Face Wash Bundle,"Rs.1,598.00"
Anti-Hairfall Oil,"Rs.1,499.00"
Hair Clay Wax + Anti-Dandruff Shampoo Bundle,"Rs.1,598.00"
Anti-Hairfall Shampoo,Rs.699.00
Flare - Perfumed Body Spray,Rs.799.00
Gift Box,Rs.650.00
Acne Body Wash,Rs.699.00
Anti-Hairfall Bundle | Complete Hair Loss Solution,"Rs.2,049.00"
Bamboo Toothbrush,Rs.350.00
Pocket Comb,Rs.699.00
The Ultimate Bundle,"Rs.4,914.00"
Ball Sack Deodorant,Rs.899.00
Hairdressing Barber kit,"Rs.2,999.00"
Beard Scissor,Rs.999.00
Charcoal Face Wash + Anti-Hair fall Shampoo,"Rs.1,249.00"
Charcoal Face Wash + Beard Growth Oil + Lip Lightener Balm,"Rs.3,049.00"
Flare Body Spray + Charcoal Face Wash + Hair Clay Wax,"Rs.2,349.00"
Flare Body Spray + Charcoal Face Wash + Hair Wax,"Rs.2,349.00"
OneBlade Face QP2520/20,"Rs.8,500.00"
"MG3710/15 Multigroom series 3000 6-in-1, Face","Rs.11,799.00"
BG3005/15 Bodygroom series 3000 Showerproof body groomer,"Rs.13,300.00"
Durex Intense Feeling Bundle (Extended Pleasure 12s + Fetherlite 12s) + FREE SHAMPOO,"Rs.2,749.00"
Durex Intense Feeling Bundle (Extended Pleasure 12s + Fetherlite 12s) + FREE SHAMPOO,"Rs.2,749.00"
"NT3650/16 Nose trimmer series 3000 Nose, ear & eyebrow trimmer","Rs.7,299.00"
PQ206/18 Electric shaver,"Rs.6,799.00"
"MG7720/15 Multigroom series 7000 14-in-1, Face, Hair and Body","Rs.24,999.00"
"MG5720/15 Multigroom series 5000 9-in-1, Face and Hair","Rs.19,600.00"
BT3206/14 Beard trimmer series 3000,"Rs.12,299.00"
Shaver series 5000 Wet and dry electric shaver – S5444,"Rs.29,599.00"
NT1650/16 Nose trimmer series 1000 Nose & ear trimmer,"Rs.7,299.00"
Ice Blast Bundle,"Rs.1,399.00"
S3122/51 Shaver series 3000 Wet or Dry electric shaver,"Rs.23,749.00"
S1103/02 Shaver series 1000 Electric shaver,"Rs.11,400.00"
Ice Blast Face Wash,Rs.799.00
Ice Blast Body Wash,Rs.699.00
Hair & Skin Rescue Bundle,"Rs.4,210.00"
Daily Booster Bundle,"Rs.3,099.00"
Ultimate Daily Routine Bundle,"Rs.3,596.00"
Detox Glow & Freshness Bundle,"Rs.2,999.00"
Men's Must-Haves Grooming Bundle,"Rs.5,249.00"
Father's Day Premium All-in-One Bundle,"Rs.6,292.00"
Sun Protector Bundle,"Rs.3,795.00"
Acne Fighter Bundle,"Rs.2,546.00"
Ultimate Gentleman’s Care Bundle,"Rs.4,445.00"
Grooming Favorites Bundle,"Rs.4,599.00"
Beard Perfection Bundle,"Rs.2,397.00"
Match-Day Essentials Bundle,"Rs.3,416.00"
All-Rounder Bundle,"Rs.3,899.00"
Boundary Breaker Bundle,"Rs.2,799.00"
Wicket Warrior Essentials Bundle,"Rs.2,699.00"
Captain's Choice Bundle,"Rs.2,150.00"
Pitch-Perfect Grooming Bundle,"Rs.3,599.00"
Champion's Beard & Hair Styling Bundle,"Rs.2,499.00"
Summer Go-To Bundle,"Rs.2,796.00"
Summer Chill Bundle,"Rs.2,599.00"
